slang,formal,category,length
bju,baju,abreviasi,3
yahhhh,ya,anaptiksis,6
synk,sayang,abreviasi,4
dtggu,ditunggu,abreviasi,5
giti,begitu,salah ketik,4
wrn,warna,abreviasi,3
ne,ini,modifikasi vokal,2
k',kak,pungtuasi,2
kuu,ku,elongasi,3
dsini,disini,abreviasi,5
c,sih,word-value letter,1
mlz,malas,abreviasi,3
thu,itu,zeroisasi,3
iy,iya,abreviasi,2
dnk,dong,abreviasi,3
aama,sama,elongasi,4
kll,kalo,abreviasi,3
arghhh,ah,anaptiksis,6
neh,nih,modifikasi vokal,3
aee,saja,subtitusi,3
battt,banget,abreviasi,5
am,sama,abreviasi,2
tah,teh,modifikasi vokal,3
ppa,papa,abreviasi,3
iiihh,ih,elongasi,5
yooow,ya,modifikasi vokal,5
kapaan,kapan,elongasi,6
ituuuu,itu,elongasi,6
abg,abang,abreviasi,3
kannn,kan,elongasi,5
apalgi,apalagi,elongasi,6
akuh,aku,anaptiksis,4
msa,masa,abreviasi,3
ponakn,ponakan,abreviasi,6
tpy,tapi,abreviasi,3
bngy,banget,abreviasi,4
ngp,mengapa,abreviasi,3
or,orang,abreviasi,2
tdak,tidak,abreviasi,4
taw,tau,subtitusi,3
sjk,sejak,abreviasi,3
siappa,siapa,elongasi,6
inihhh,ini,elongasi,6
oom,om,elongasi,3
